codigoAlternativoEmpleado,codigoTipoIncremento,Motivo,codigoAlternativoSolicitante,fechaVigencia,esRetroactivo,Valor,codigoRubroSalarial
2398,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2400,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2408,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2412,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2414,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2416,3,aumento anual,1725,01/07/2015,NO,1456.25,1
2420,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2421,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2425,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2432,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2434,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2439,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2445,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2446,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2448,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2453,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2459,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2463,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2473,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2479,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2482,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2494,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2502,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2505,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2506,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2507,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2510,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2518,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2619,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2621,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2624,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2639,3,aumento anual,1725,01/07/2015,NO,1332.48,1
2640,3,aumento anual,1725,01/07/2015,NO,1332.48,1
2641,3,aumento anual,1725,01/07/2015,NO,1332.48,1
2642,3,aumento anual,1725,01/07/2015,NO,1332.48,1
2644,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2645,3,aumento anual,1725,01/07/2015,NO,1456.22,1
2646,3,aumento anual,1725,01/07/2015,NO,1332.48,1
2647,3,aumento anual,1725,01/07/2015,NO,1332.48,1
2648,3,aumento anual,1725,01/07/2015,NO,1522.11,1
2652,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2655,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2664,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2676,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2677,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2679,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2682,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2684,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2689,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2690,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2691,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2695,3,aumento anual,1725,01/07/2015,NO,1522.11,1
2696,3,aumento anual,1725,01/07/2015,NO,1332.46,1
